start_key,end_key,ordinal,isPrimary
GB-COH-08140815,GB-COH|08140815,0,true
GB-COH-11188145,GB-COH|11188145,0,true
GB-COH-12000539,GB-COH|12000539,0,true
GB-COH-00895797,GB-COH|00895797,0,true
GB-COH-07974274,GB-COH|07974274,0,true
GB-COH-01009905,GB-COH|01009905,0,true
GB-COH-05335923,GB-COH|05335923,0,true
GB-COH-15363762,GB-COH|15363762,0,true
GB-COH-05335927,GB-COH|05335927,0,true
GB-COH-00305943,GB-COH|00305943,0,true
GB-COH-12105028,GB-COH|12105028,0,true
GB-COH-00908982,GB-COH|00908982,0,true
GB-COH-13461160,GB-COH|13461160,0,true
GB-COH-03502262,GB-COH|03502262,0,true
GB-COH-09971526,GB-COH|09971526,0,true
GB-COH-11041000,GB-COH|11041000,0,true
GB-COH-00284323,GB-COH|00284323,0,true
GB-COH-10519279,GB-COH|10519279,0,true
GB-COH-04316931,GB-COH|04316931,0,true
GB-COH-04446121,GB-COH|04446121,0,true
GB-COH-08812651,GB-COH|08812651,0,true
GB-COH-10027204,GB-COH|10027204,0,true
GB-COH-09978028,GB-COH|09978028,0,true
GB-COH-07599899,GB-COH|07599899,0,true
GB-COH-07974282,GB-COH|07974282,0,true
GB-COH-01937364,GB-COH|01937364,0,true
GB-COH-06383184,GB-COH|06383184,0,true
GB-COH-04833438,GB-COH|04833438,0,true
GB-COH-09646587,GB-COH|09646587,0,true
GB-COH-SC135813,GB-COH|SC135813,0,true
GB-COH-00972944,GB-COH|00972944,0,true
GB-COH-13311592,GB-COH|13311592,0,true
GB-COH-04075308,GB-COH|04075308,0,true
GB-COH-00615393,GB-COH|00615393,0,true
GB-COH-07521628,GB-COH|07521628,0,true
GB-COH-13947643,GB-COH|13947643,0,true
GB-COH-13923476,GB-COH|13923476,0,true
GB-COH-07079220,GB-COH|07079220,0,true
GB-COH-05971273,GB-COH|05971273,0,true
XI-LEI-549300FJOXFUONBUSB24,XI-LEI|549300FJOXFUONBUSB24,0,true
XI-LEI-549300FJOXFUONBUSB24,US-SAM|860013,1,false
XI-LEI-549300GL1JKOPE05D156,XI-LEI|549300GL1JKOPE05D156,0,true
XI-LEI-549300GL1JKOPE05D156,GB-COH|00263889,1,false
XI-LEI-254900E2H6UPESEYHK67,XI-LEI|254900E2H6UPESEYHK67,0,true
XI-LEI-254900E2H6UPESEYHK67,US-SAM|2342992,1,false
XI-LEI-549300O4I4C09FVKBE77,XI-LEI|549300O4I4C09FVKBE77,0,true
XI-LEI-549300O4I4C09FVKBE77,GB-COH|SC107896,1,false
XI-LEI-549300S6ZINNW7Y1NP62,XI-LEI|549300S6ZINNW7Y1NP62,0,true
XI-LEI-549300S6ZINNW7Y1NP62,SG-ACRA|196600436K,1,false
XI-LEI-549300KT0ZQUIBAX8U21,XI-LEI|549300KT0ZQUIBAX8U21,0,true
XI-LEI-549300KT0ZQUIBAX8U21,US-SAM|5795097,1,false
XI-LEI-335800DTEWI5HM8G1295,XI-LEI|335800DTEWI5HM8G1295,0,true
XI-LEI-335800DTEWI5HM8G1295,IN-MCA|U50100MH2002PTC138480,1,false
XI-LEI-549300GFYQ2Z4MV18T39,XI-LEI|549300GFYQ2Z4MV18T39,0,true
XI-LEI-335800KCNMKXQFPJ5Q28,XI-LEI|335800KCNMKXQFPJ5Q28,0,true
